B_cell__CD19-positive,CD16-negative__CD56-bright_natural_killer_cell,CD16-positive__CD56-dim_natural_killer_cell,T_cell/B_cell_doublet,T_follicular_helper_cell,alveolar_macrophage,central_memory_CD4-positive__alpha-beta_T_cell,central_memory_CD8-positive__alpha-beta_T_cell,classical_monocyte,cycling_T_or_natural_killer_cell,cycling_cell,dendritic_cell,effector_memory_CD4-positive__alpha-beta_T_cell,effector_memory_CD8-positive__alpha-beta_T_cell,erythroid_lineage_cell,gamma-delta_T_cell,germinal_center_B_cell,group_3_innate_lymphoid_cell,gut_tissue-resident__CD8-positive__memory_T_cell,macrophage,mast_cell,mature_alpha-beta_T_cell,megakaryocyte,memory_B_cell,mononuclear_phagocyte/B_cell_doublet,mononuclear_phagocyte/T_cell_doublet,mucosal_invariant_T_cell,naive_B_cell,non-classical_monocyte,plasma_cell,plasmablast,plasmacytoid_dendritic_cell,precursor_B_cell,pro-B_cell,progenitor_cell,regulatory_T_cell,tissue-resident_effector_memory_CD8-positive_T_cell,tissue-resident_memory_T-helper_1/17_cell,tissue-resident_memory_gamma-delta_T_cell
RPL18A,ARHGAP9,PLEK,HERPUD1,RPL36,HLA-DPA1,RPL26,RPS15,TMSB10,CST7,TKT,S100A11,RPS27,SYNE2,H4C3,LCK,UBE2J1,TYROBP,HOPX,ATP6V0C,TYROBP,BCL11B,BEX3,RPL8,HLA-DRB1,ITM2B,ND3,FCRL1,LILRB2,PLPP5,SEC61G,TPM2,H1-10,ZEB2,CAT,TRAF3IP3,CLEC2B,CYTIP,UBC
CCDC50,KLRC1,FLNA,HSPA1B,RPS25,TREM1,RPL41,RPL10A,PYCARD,DDX39A,APLP2,RAC1,MAL,EMP3,PA2G4,CBLB,TUBA1B,AFF3,MYADM,ATOX1,CTSD,ND6,ZYX,P2RX5,HLA-DPB1,PTPRE,ID2,CXCR4,BCL2A1,SEC61A1,TXNDC11,JAML,SYK,AKAP12,PLAC8,ARID5B,HLA-B,KLRB1,SRGN
ARHGAP24,PLAAT4,KLRK1,IL7R,RPL35A,HLA-DRA,CD7,RPS18,APLP2,ATAD2,CTSZ,TYROBP,RPL19,PTPRC,ANP32B,ARHGAP9,CD74,TOX2,TMSB4X,HMOX1,ND2,PDE3B,TPM1,CD40,RPL18,ASAH1,HLA-C,RPSA,LILRA3,NA,SSR4,PPP1R14B,CD79A,ESD,HBA2,ITM2A,ITGB2,FYB1,GAPDH
TNFRSF13B,PRKCH,SH3BGRL3,ADAM28,HSP90AB1,GRINA,NOP53,RPSA,HCK,RANBP1,ANXA5,SAT1,RPL35A,LSP1,TIMM13,KLRC2,DUT,AQP3,LCK,ATP6V1F,RGS13,INPP4B,MYL9,HLA-DPB1,RPL12,NPC2,CD7,CD72,SH3BGRL3,GAS6,CALR,RGS2,SRP14,SRP14,H2AZ2,RPL28,GIMAP7,PHLDA1,NEDD9
LIMD2,ZBTB16,MATK,NA,DDIT4,CTSS,RPLP2,RPL36A,MS4A6A,GZMB,TUBB,NAPSB,RPL6,CORO1A,ATP5MC3,CD160,IRF8,CXCR4,HSPA1B,GNG5,NFKBIZ,DDX17,SPARC,RPL12,IGHM,ITGB2,B2M,HLA-DRA,PYCARD,KDELR2,DDOST,GPX1,UBE2J1,PNISR,EIF4A1,LEPROTL1,TMA7,TTC39C,CAPG
RPS11,LCP1,CCL4,NIBAN3,RPL34,CST3,RPS16,RPSAP58,GAPDH,LMNB1,LST1,JAML,RPL29,SYNE1,GATA1,RGS1,POLD4,CD7,XCL2,SOD2,CKLF,ITK,ESAM,RPL3,BLNK,TNFRSF1B,JUNB,PLPP5,H3-3A,SPATS2,IGHG3,STMN1,H2AC19,SEPTIN9,ATP5ME,RPL34,RGS1,MYADM,PAXX
PARP15,CCL5,TBX21,RPSAP58,RPS12,HLA-DRB1,RPL38,NA,GRN,MT2A,S100A10,NME2,LIME1,LYAR,RPL6,ZNF331,PPP1CA,IL2RG,DUSP2,CYBB,EMP3,SYNE2,TUBA8,LY9,RPL13A,RNF130,HLA-A,RPS11,HMOX1,BTG2,FKBP2,CD2AP,CD9,STMN1,TSPO,CIRBP,PRKCH,LEPROTL1,IL32
ARHGAP25,FOS,JAK1,DNAJA1,CD6,CD63,RPL10A,NACA,CEBPD,HNRNPF,ENO1,VIM,RPL10A,SLC9A3R1,CDK4,DNAJB1,CHCHD2,GSN,HCST,SERPINA1,SIGLEC17P,ZNF331,ACTN1,RPS25,HLA-DRA,SERF2,ND2,SELL,ARPC1B,RABAC1,IGHG2,MAN2B1,SYF2,MAP1LC3B,HMGB2,RPL37,HLA-B,PARP8,DUSP4
HLA-DMA,JAK1,IL2RG,EIF4A2,CAMK4,DAB2,RPL12,RPS10,ATP5F1E,ARHGDIB,S100A4,CSF2RA,RPL36A,IL2RG,METAP2,S1PR5,UQCRH,CITED2,H3-3B,GRINA,BHLHE40,SMG1,MPIG6B,RPS6,C1QB,GABARAP,JUN,RPL10A,WARS1,NUCB2,SRM,RASD1,ACSM3,RPS7,HBA1,ARHGDIB,CD69,STK17B,ID2
TNFRSF13C,SH2D1A,RAP1B,STK17A,PNRC1,APOE,EEF1D,RPL12,FPR1,TPI1,TYROBP,HLA-DRA,RPS16,NA,RPL22L1,CALM1,TCEA1,DDIT4,PTPN22,YBX1,RPL36AL,FOXP1,RAB11A,FAU,FCRLA,COTL1,LCK,HLA-DRA,NINJ1,TMED9,MYBL2,PLP2,AEBP1,EIF3H,LSM7,BATF,FYB1,DNAJA1,STK17A
